team,season,division,name,jersey,position,height,major,hometown,high_school,previous_school,url,class,ncaa_id
Penn St.,2024,,Natalie Freeman,1,M/F,,,"Ellicott City, Md.",Garrison Forest School,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/natalie-freeman,Sophomore,539
Penn St.,2024,,Katelyn Strawser,2,F,,,"Hummelstown, Pa.",Lower Dauphin,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/katelyn-strawser,Freshman,539
Penn St.,2024,,Sophia Gladieux,3,F,,,"Boyertown, Pa.",Oley Valley,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/sophia-gladieux,Senior+,539
Penn St.,2024,,Madison Tambroni,4,M,,,"State College, Pa.",State College,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/madison-tambroni,Junior,539
Penn St.,2024,,Riley O'Donnell,5,M,,,"Lansdale, Pa.",Springside Chestnut Hill Academy,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/riley-odonnell,Freshman,539
Penn St.,2024,,Kerry O'Donnell,6,M,,,"Lansdale, Pa.",Springside Chestnut Hill Academy,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/kerry-odonnell,Freshman,539
Penn St.,2024,,Julia Lamb,7,F/M,,,"Phoenixville, Pa.",Owen J. Roberts,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/julia-lamb,Senior,539
Penn St.,2024,,Morgan Snyder,8,D,,,"Fleetwood, Pa.",Oley Valley,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/morgan-snyder,Freshman,539
Penn St.,2024,,Morgan McMenamin,9,F,,,"Lafayette Hill, Pa.",The Episcopal Academy,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/morgan-mcmenamin,Junior,539
Penn St.,2024,,Julienne van Bekkum,10,D,,,"Best, The Netherlands",Heerbeeck,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/julienne-van-bekkum,Graduate Student,539
Penn St.,2024,,Madison Britton,11,M/D,,,"West Grove, Pa.",Avon Grove,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/madison-britton,Redshirt Freshman,539
Penn St.,2024,,Carly Seal,12,M,,,"Westampton, N.J.",Rancocas Valley,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/carly-seal,Freshman,539
Penn St.,2024,,Aby Deverka,13,GK,,,"Houston, Texas",The Kinkaid School,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/aby-deverka,Freshman,539
Penn St.,2024,,Lauren Delgado,14,GK,,,"East Earl, Pa.",Garden Spot,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/lauren-delgado,Graduate Student,539
Penn St.,2024,,Aubrey Semler,15,F,,,"Allentown, Pa.",Parkland,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/aubrey-semler,Junior,539
Penn St.,2024,,Elise DeWan,16,D,,,"Collegeville, Pa.",Methacton,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/elise-dewan,Redshirt Freshman,539
Penn St.,2024,,Ella Jennes,17,F/M,,,"Aerdenhout, The Netherlands",Coornert Lyceum,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/ella-jennes,Junior,539
Penn St.,2024,,Anouk Knuvers,20,D,,,"'s-Hertogenbosch, The Netherlands",Stedeljik,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/anouk-knuvers,Senior,539
Penn St.,2024,,Emmy McCulley,22,F/M,,,"Hummelstown, Pa.",Lower Dauphin,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/emmy-mccully,Redshirt Freshman,539
Penn St.,2024,,Gery Schnarrs,26,D,,,"Camp Hill, Pa.",East Pennsboro,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/gery-schnarrs,Senior+,539
Penn St.,2024,,Drew Taylor,27,F/M,,,"Coatesville, Pa.",Coatesville,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/drew-taylor,Senior,539
Penn St.,2024,,Hannah Schreckengaust,31,D,,,"San Marcos, Calif.",San Marcos,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/hannah-schreckengaust,Redshirt Freshman,539
Penn St.,2024,,Sofia Acosta,34,D,,,"Malvern, Pa.",The Episcopal Academy,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/sofia-acosta,Junior,539
Penn St.,2024,,Sophia Mannino,42,M,,,"Doylestown, Pa.",Central Bucks East,,https://gopsusports.com/sports/field-hockey/roster/season/2024/player/sophia-mannino,Senior,539
