team,season,division,name,jersey,position,height,major,hometown,high_school,previous_school,url,class,ncaa_id
American,2025,,Jordan Reicher,1,,,,,,,https://aueagles.com/sports/field-hockey/roster/jordan-reicher/7003,,23
American,2025,,Jill DuVarney,2,,,,,,,https://aueagles.com/sports/field-hockey/roster/jill-duvarney/7009,,23
American,2025,,Skylar Duffy,3,,,,,,,https://aueagles.com/sports/field-hockey/roster/skylar-duffy/6995,,23
American,2025,,Sophie Willemse,4,,,,,,,https://aueagles.com/sports/field-hockey/roster/sophie-willemse/7007,,23
American,2025,,Kaleigh Missimer,5,,,,,,,https://aueagles.com/sports/field-hockey/roster/kaleigh-missimer/7001,,23
American,2025,,Sarah Steinman,6,,,,,,,https://aueagles.com/sports/field-hockey/roster/sarah-steinman/7005,,23
American,2025,,Elle Ridge,7,,,,,,,https://aueagles.com/sports/field-hockey/roster/elle-ridge/7004,,23
American,2025,,Alyssa Freeman,8,,,,,,,https://aueagles.com/sports/field-hockey/roster/alyssa-freeman/6996,,23
American,2025,,Ashley Huddleston,9,,,,,,,https://aueagles.com/sports/field-hockey/roster/ashley-huddleston/7000,,23
American,2025,,Agustina Roffo,11,,,,,,,https://aueagles.com/sports/field-hockey/roster/agustina-roffo/7016,,23
American,2025,,Kylie Briggs,12,,,,,,,https://aueagles.com/sports/field-hockey/roster/kylie-briggs/6994,,23
American,2025,,Riley Clouse,13,,,,,,,https://aueagles.com/sports/field-hockey/roster/riley-clouse/7015,,23
American,2025,,Kendall Varty,14,,,,,,,https://aueagles.com/sports/field-hockey/roster/kendall-varty/7006,,23
American,2025,,Sydney Huddleston,15,,,,,,,https://aueagles.com/sports/field-hockey/roster/sydney-huddleston/7010,,23
American,2025,,Ninthe Botman,16,,,,,,,https://aueagles.com/sports/field-hockey/roster/ninthe-botman/7017,,23
American,2025,,Emilia Winkler,17,,,,,,,https://aueagles.com/sports/field-hockey/roster/emilia-winkler/7008,,23
American,2025,,Maura Read,18,,,,,,,https://aueagles.com/sports/field-hockey/roster/maura-read/7011,,23
American,2025,,Maddy Snyder,19,,,,,,,https://aueagles.com/sports/field-hockey/roster/maddy-snyder/7012,,23
American,2025,,Olivia Morraye,20,,,,,,,https://aueagles.com/sports/field-hockey/roster/olivia-morraye/7002,,23
American,2025,,Lotti Süme,21,,,,,,,https://aueagles.com/sports/field-hockey/roster/lottis-me/7013,,23
American,2025,,Mia Edwards,22,,,,,,,https://aueagles.com/sports/field-hockey/roster/mia-edwards/7074,,23
American,2025,,Emma Guydish,26,,,,,,,https://aueagles.com/sports/field-hockey/roster/emma-guydish/6999,,23
American,2025,,Pauline Gineste,77,,,,,,,https://aueagles.com/sports/field-hockey/roster/pauline-gineste/6998,,23
American,2025,,Teagan Harmon,99,,,,,,,https://aueagles.com/sports/field-hockey/roster/teagan-harmon/7014,,23
App State,2025,,Bridget Donovan,1,,,,,,,https://appstatesports.com/sports/field-hockey/roster/bridget-donovan/10042,,27
App State,2025,,Emma Livingston,2,,,,,,,https://appstatesports.com/sports/field-hockey/roster/emma-livingston/10500,,27
App State,2025,,Darby Reyburn,3,,,,,,,https://appstatesports.com/sports/field-hockey/roster/darby-reyburn/10053,,27
App State,2025,,Baylie Phillips,4,,,,,,,https://appstatesports.com/sports/field-hockey/roster/baylie-phillips/10052,,27
App State,2025,,Kate Richardson,5,,,,,,,https://appstatesports.com/sports/field-hockey/roster/kate-richardson/10054,,27
App State,2025,,Sarah Callery,7,,,,,,,https://appstatesports.com/sports/field-hockey/roster/sarah-callery/10038,,27
App State,2025,,Frederique Grimbergen,8,,,,,,,https://appstatesports.com/sports/field-hockey/roster/frederique-grimbergen/10045,,27
App State,2025,,Ellie DeHart,9,,,,,,,https://appstatesports.com/sports/field-hockey/roster/ellie-dehart/10501,,27
App State,2025,,Sarah Perkins,10,,,,,,,https://appstatesports.com/sports/field-hockey/roster/sarah-perkins/10051,,27
App State,2025,,Henriette Stegen,11,,,,,,,https://appstatesports.com/sports/field-hockey/roster/henriette-stegen/10055,,27
App State,2025,,Carlotta Fabian,12,,,,,,,https://appstatesports.com/sports/field-hockey/roster/carlotta-fabian/10497,,27
App State,2025,,Kassie Paul,16,,,,,,,https://appstatesports.com/sports/field-hockey/roster/kassie-paul/10050,,27
App State,2025,,Zoey Emrick,17,,,,,,,https://appstatesports.com/sports/field-hockey/roster/zoey-emrick/10499,,27
App State,2025,,Samantha Connors,20,,,,,,,https://appstatesports.com/sports/field-hockey/roster/samantha-connors/10040,,27
App State,2025,,Hadley Kuzmicky,22,,,,,,,https://appstatesports.com/sports/field-hockey/roster/hadley-kuzmicky/10048,,27
App State,2025,,Sophia Baxter,24,,,,,,,https://appstatesports.com/sports/field-hockey/roster/sophia-baxter/10035,,27
App State,2025,,Lise Boekaar,33,,,,,,,https://appstatesports.com/sports/field-hockey/roster/lise-boekaar/10036,,27
App State,2025,,Calista Schwartz,34,,,,,,,https://appstatesports.com/sports/field-hockey/roster/calista-schwartz/10498,,27
App State,2025,,Claire Grenis,44,,,,,,,https://appstatesports.com/sports/field-hockey/roster/claire-grenis/10044,,27
App State,2025,,Dakota Anderson,77,,,,,,,https://appstatesports.com/sports/field-hockey/roster/dakota-anderson/10034,,27
App State,2025,,Grace Bramble,99,,,,,,,https://appstatesports.com/sports/field-hockey/roster/grace-bramble/10502,,27
Ball St.,2025,,Maddie Summitt,2,F,,,"Washington, NJ",,Warren Hills Regional,https://ballstatesports.com/sports/field-hockey/roster/maddie-summitt/12972,Senior,47
Ball St.,2025,,Riley Hannick,3,F,,,"Huntington, NY",,Harborfields High School,https://ballstatesports.com/sports/field-hockey/roster/riley-hannick/12980,Freshman,47
Ball St.,2025,,Emily Kate Covert,4,F,,,"Dexter, Mich.",,Dexter,https://ballstatesports.com/sports/field-hockey/roster/emily-kate-covert/13504,Sophomore,47
Ball St.,2025,,Jade Vandevoorde,5,F,,,Belgium,,,https://ballstatesports.com/sports/field-hockey/roster/jade-vandevoorde/13517,Freshman,47
Ball St.,2025,,Caroline Massey,6,F,,,"Louisville, Ky.",,Ballard,https://ballstatesports.com/sports/field-hockey/roster/caroline-massey/13512,Sophomore,47
Ball St.,2025,,Emma van Hal,7,M,,,"Wageningen, Netherlands",,Pantarijn,https://ballstatesports.com/sports/field-hockey/roster/emma-van-hal/12973,Senior,47
Ball St.,2025,,Grace Clokie,8,M,,,"Vancouver, Canada",,West Vancouver Secondary School,https://ballstatesports.com/sports/field-hockey/roster/grace-clokie/12960,Senior,47
Ball St.,2025,,Caity McGough,9,M,,,"Millersville, Pa.",,Penn Manor,https://ballstatesports.com/sports/field-hockey/roster/caity-mcgough/13513,Junior,47
Ball St.,2025,,Emalene Harter,10,M,,,"Richmond, Va.",,St. Catherine's School,https://ballstatesports.com/sports/field-hockey/roster/emalene-harter/13507,Sophomore,47
Ball St.,2025,,Julia Verratti,11,F,,,"Williamstown, N.J.",,Williamstown,https://ballstatesports.com/sports/field-hockey/roster/julia-verratti/13518,Junior,47
Ball St.,2025,,Lauren Lewis,13,M,,,"Hull, England",,Hymers College,https://ballstatesports.com/sports/field-hockey/roster/lauren-lewis/13511,Sophomore,47
Ball St.,2025,,Lois van Wijk,14,D,,,"Naarden, Netherlands",,,https://ballstatesports.com/sports/field-hockey/roster/lois-van-wijk/13516,Freshman,47
Ball St.,2025,,Reagan Kunkle,15,M,,,"York, Pa.",,West York Area,https://ballstatesports.com/sports/field-hockey/roster/reagan-kunkle/12965,Junior,47
Ball St.,2025,,Ellie Francois,16,D,,,"Kirkwood, Mo.",,Kirkwood,https://ballstatesports.com/sports/field-hockey/roster/ellie-francois/13505,Junior,47
Ball St.,2025,,Chidochashe Munyonga,17,F,,,"Harare, Zimbabwe",,,https://ballstatesports.com/sports/field-hockey/roster/chidochashe-munyonga/13514,Freshman,47
Ball St.,2025,,Jessica Rochat,18,D,,,"Durban, South Africa",,St Johns DSG,https://ballstatesports.com/sports/field-hockey/roster/jessica-rochat/12979,Senior,47
Ball St.,2025,,Jemimah Kriechelberg,19,F,,,"Houthalen-Helchgeren, Belgium",,,https://ballstatesports.com/sports/field-hockey/roster/jemimah-kriechelberg/13510,Junior,47
Ball St.,2025,,Braiden Scheffler,20,M,,,"Chelsea, Mich.",,Chelsea High School,https://ballstatesports.com/sports/field-hockey/roster/braiden-scheffler/13515,Freshman,47
Ball St.,2025,,Christine Ditizio,26,F,,,"West Chester, PA",,West Chester Bayard Rustin,https://ballstatesports.com/sports/field-hockey/roster/christine-ditizio/12961,Senior,47
Ball St.,2025,,Cali Hyman,44,GK,,,"Chesapeake, Va.",,Grassfield High School,https://ballstatesports.com/sports/field-hockey/roster/cali-hyman/13509,Freshman,47
Ball St.,2025,,Carleigh Hofelich,75,GK,,,"Louisville, Ky.",,Assumption,https://ballstatesports.com/sports/field-hockey/roster/carleigh-hofelich/13508,Junior,47
Bellarmine,2025,,Mia Booth,1,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/mia-booth/9462,,52
Bellarmine,2025,,Reilly Casey,2,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/reilly-casey/9465,,52
Bellarmine,2025,,Maria Bonwell,3,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/maria-bonwell/9461,,52
Bellarmine,2025,,Brooke Buchanan,4,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/brooke-buchanan/9463,,52
Bellarmine,2025,,Anouk Richters,5,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/anouk-richters/9473,,52
Bellarmine,2025,,Annie McCarthy,6,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/annie-mccarthy/9731,,52
Bellarmine,2025,,Dominique Hudson,7,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/dominique-hudson/9471,,52
Bellarmine,2025,,Addyson Hough,9,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/addyson-hough/9739,,52
Bellarmine,2025,,Lilli Vera,10,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/lilli-vera/9737,,52
Bellarmine,2025,,Eve Gladys,11,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/eve-gladys/9469,,52
Bellarmine,2025,,Mira Alcorn,12,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/mira-alcorn/9735,,52
Bellarmine,2025,,Madison Patton,15,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/madison-patton/9732,,52
Bellarmine,2025,,Chloe James,16,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/chloe-james/9736,,52
Bellarmine,2025,,Amber Lacy,17,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/amber-lacy/9733,,52
Bellarmine,2025,,Luna Tuncay,18,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/luna-tuncay/9475,,52
Bellarmine,2025,,Olivia Pifer,19,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/olivia-pifer/9738,,52
Bellarmine,2025,,Cami Paris,21,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/cami-paris/9734,,52
Bellarmine,2025,,Annie Malloy,22,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/annie-malloy/9472,,52
Bellarmine,2025,,Skylar Sokal,24,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/skylar-sokal/9474,,52
Bellarmine,2025,,Emily Williams,25,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/emily-williams/9729,,52
Bellarmine,2025,,Alicia Hudson,27,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/alicia-hudson/9470,,52
Bellarmine,2025,,Ella Bonnell,37,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/ella-bonnell/9730,,52
Bellarmine,2025,,Megan Clauser,95,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/megan-clauser/9467,,52
Bellarmine,2025,,Kailey Workman,99,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/kailey-workman/9476,,52
Bellarmine,2025,,Luiza Bonardi,,,,,,,,https://athletics.bellarmine.edu/sports/field-hockey/roster/luiza-bonardi/9843,,52
Boston College,2025,,Sophia Sisco,1,M,5' 2'',,"Fairfield, N.J.",,West Essex Regional High School,https://bceagles.com/sports/field-hockey/roster/sophia-sisco/27004,Freshman,67
Boston College,2025,,Klara Mueffelmann,2,F,5' 6'',,"Greenwich, Conn.",,Greenwich High School,https://bceagles.com/sports/field-hockey/roster/klara-mueffelmann/27032,Junior,67
Boston College,2025,,Alex De Cain,3,M,5' 6'',,"Brynn Mawr, Pa.",,Radnor High School,https://bceagles.com/sports/field-hockey/roster/alex-de-cain/27026,Freshman,67
Boston College,2025,,Laila Rosenquest,4,M,5' 3'',,"Carmel, N.Y.",,Carmel High School,https://bceagles.com/sports/field-hockey/roster/laila-rosenquest/27019,Junior,67
Boston College,2025,,Martina Giacchino,5,M,5' 5'',,"Villa Carlos Paz, Córdoba, Argentina",,Institute of Secondary and Higher Education (Argentina),https://bceagles.com/sports/field-hockey/roster/martina-giacchino/25817,Senior,67
Boston College,2025,,Madeline Leigh,6,D,5' 9'',,"Auckland, New Zealand",,Saint Kentigern College,https://bceagles.com/sports/field-hockey/roster/madeline-leigh/27030,Junior,67
Boston College,2025,,Melea Weber,7,F,5' 6'',,"Macungie, Pa.",,Emmaus,https://bceagles.com/sports/field-hockey/roster/melea-weber/27023,Sophomore,67
Boston College,2025,,Maisy Ricciardelli,8,M,5' 7'',,"New Canaan, Conn.",,The Taft School,https://bceagles.com/sports/field-hockey/roster/maisy-ricciardelli/27001,Sophomore,67
Boston College,2025,,Caroline Chisholm,9,F,5' 7'',,"Villanova, Pa.",,Agnes Irwin High School,https://bceagles.com/sports/field-hockey/roster/caroline-chisholm/27008,Freshman,67
Boston College,2025,,Lilly Pergola,10,D,5' 8'',,"Norfolk, Mass.",,Newton Country Day School,https://bceagles.com/sports/field-hockey/roster/lilly-pergola/27016,Freshman,67
Boston College,2025,,Kate Bock,11,F,5' 5'',,"Darien, Conn.",,Darien High School,https://bceagles.com/sports/field-hockey/roster/kate-bock/27024,Freshman,67
Boston College,2025,,Mia Garber,12,F,5' 5'',,"Downingtown, Pa.",,Episcopal Academy,https://bceagles.com/sports/field-hockey/roster/mia-garber/25816,Senior,67
Boston College,2025,,Maeve Seeger,15,M,5' 5'',,"Bryn Mawr, Pa.",,Academy of Notre Dame de Namur,https://bceagles.com/sports/field-hockey/roster/maeve-seeger/27037,Sophomore,67
Boston College,2025,,Madelieve Drion,16,F,5' 7'',,"Amstelveen, Netherlands",,Keizer Karel College,https://bceagles.com/sports/field-hockey/roster/madelieve-drion/26993,Junior,67
Boston College,2025,,Ava Meehan,18,F,5' 2'',,"Norfolk, Mass.",,Bishop Feehan,https://bceagles.com/sports/field-hockey/roster/ava-meehan/26997,Sophomore,67
Boston College,2025,,Sienna Klein,21,F,5' 6'',,"Baltimore, Md.",,Notre Dame Prep,https://bceagles.com/sports/field-hockey/roster/sienna-klein/25818,Sophomore,67
Boston College,2025,,Caroline Powell,22,D,5' 5'',,"Phoenixville, Pa.",,Episcopal Academy,https://bceagles.com/sports/field-hockey/roster/caroline-powell/27034,Freshman,67
Boston College,2025,,Eva Kluskens,23,M,5' 6'',,"Nederweert, Limburg",,Het College (Netherlands),https://bceagles.com/sports/field-hockey/roster/eva-kluskens/25819,Senior,67
Boston College,2025,,Kike Van der Veen,25,D,5' 10'',,"Zwolle, Netherlands",,Gymnasium Celeanum Zwolle,https://bceagles.com/sports/field-hockey/roster/kike-van-der-veen/25835,Freshman,67
Boston College,2025,,Carine Van Wiechen,26,GK,5' 6'',,"Rotterdam, Netherlands",,"Rotterdam, the Netherlands",https://bceagles.com/sports/field-hockey/roster/carine-van-wiechen/25826,Senior,67
Boston College,2025,,Charlotte Kramer,33,GK,5' 7'',,"Severna Park, Md",,Severna Park,https://bceagles.com/sports/field-hockey/roster/charlotte-kramer/27012,Junior,67
Boston U.,2025,,Maddie Hudson,1,M,5' 7'',,"Palmyra, Pa.",,Palmyra Area,https://goterriers.com/sports/field-hockey/roster/maddie-hudson/27375,Senior,68
Boston U.,2025,,Mallory Hudson,2,M,5' 7'',,"Palmyra, Pa.",,Palmyra Area,https://goterriers.com/sports/field-hockey/roster/mallory-hudson/27376,Freshman,68
Boston U.,2025,,Bella Bergner,3,M,5' 3'',,"Louisville, Ky.",,Assumption,https://goterriers.com/sports/field-hockey/roster/bella-bergner/27369,Junior,68
