team,season,division,name,jersey,position,height,major,hometown,high_school,previous_school,url,class,ncaa_id
Penn St.,2021,,Mackenzie Allessie,2,M,,,"Mount Joy, Pa.",Donegal,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/mackenzie-allessie,Junior,539
Penn St.,2021,,Sophia Gladieux,3,F,,,"Boyertown, Pa.",Oley Valley,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/sophia-gladieux,Sophomore,539
Penn St.,2021,,Emma Spisak,4,M,5-2,,"Boiling Springs, Pa.",Boiling Springs,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/emma-spisak,Senior+,539
Penn St.,2021,,Carly Gannon,5,M,,,"Havertown, Pa.",Haverford,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/carly-gannon,Sophomore,539
Penn St.,2021,,Bree Bednarski,6,F,5-3,,"Wyoming, Pa.",Wyoming Area,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/bree-bednarski,Senior+,539
Penn St.,2021,,Julia Lamb,7,M,,,"Phoenixville, Pa.",Owen J. Roberts,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/julia-lamb,Redshirt Freshman,539
Penn St.,2021,,Elena Vos,8,M,,,"Grave, The Netherlands",Nijmegen,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/elena-vos,Junior,539
Penn St.,2021,,Madison Tambroni,9,M,,,"State College, Pa.",State College,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/madison-tambroni,Freshman,539
Penn St.,2021,,Madison Reese,10,D,5-7,,"Center Valley, Pa.",Southern Lehigh,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/madison-reese,Junior,539
Penn St.,2021,,Meghan Reese,11,F,5-4,,"Center Valley, Pa.",Southern Lehigh,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/meghan-reese,Senior,539
Penn St.,2021,,Brie Barraco,12,GK,5-5,,"Allentown, Pa.",Parkland,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/brie-barraco,Junior,539
Penn St.,2021,,Eleni Prodes,13,M,5-5,,"Bethlehem, Pa.",Liberty,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/eleni-prodes,Senior,539
Penn St.,2021,,Lauren Delgado,14,GK,,,"East Earl, Pa.",Garden Spot,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/lauren-delgado,Sophomore,539
Penn St.,2021,,Aubrey Semler,15,F,,,"Allentown, Pa.",Parkland,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/aubrey-semler,Freshman,539
Penn St.,2021,,Brianna O'Donnell,16,F,5-2,,"Lansdale, Pa.",North Penn,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/brianna-odonnell,Junior,539
Penn St.,2021,,Anna Simon,17,D,5-9,,"Hanau, Germany",Karl Rehbein Gymnasium,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/anna-simon,Senior,539
Penn St.,2021,,Emily Farrell,18,M,,,"Wyoming, Pa.",Dallas,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/emily-farrell,Sophomore,539
Penn St.,2021,,Grace Wallis,19,F,,,"Blue Bell, Pa.",Mount St. Joseph Academy,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/grace-wallis,Senior,539
Penn St.,2021,,Anouk Knuvers,20,M,,,"'s-Hertogenbosch, The Netherlands",Stedeljik,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/anouk-knuvers,Freshman,539
Penn St.,2021,,Caroline Myers,21,F,,,"Hartland, Wis.",Arrowhead,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/caroline-myers,Redshirt Freshman,539
Penn St.,2021,,Jemma Punch,23,M,,,"Queensland, Australia",Brisbane State HS,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/jemma-punch,Junior,539
Penn St.,2021,,Hannah Zemaitis,24,M,,,"Camp Hill, Pa.",Camp Hill,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/hannah-zemaitis,Senior+,539
Penn St.,2021,,Gery Schnarrs,26,F,,,"Camp Hill, Pa.",East Pennsboro,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/gery-schnarrs,Sophomore,539
Penn St.,2021,,Drew Taylor,27,F,,,"Coatesville, Pa.",Coatesville,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/drew-taylor,Sophomore,539
Penn St.,2021,,Emily Bullard,30,GK,,,"Doylestown, Pa.",Central Bucks East,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/emily-bullard,Freshman,539
Penn St.,2021,,Kelsey Love,33,D,,,"State College, Pa.",State College,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/kelsey-love,Sophomore,539
Penn St.,2021,,Sofia Acosta,34,D,,,"Malvern, Pa.",The Episcopal Academy,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/sofia-acosta,Freshman,539
Penn St.,2021,,Sophia Mannino,42,F,,,"Doylestown, Pa.",Central Bucks East,,https://gopsusports.com/sports/field-hockey/roster/season/2021/player/sophia-mannino,Freshman,539
