team,season,division,name,jersey,position,height,major,hometown,high_school,previous_school,url,class,ncaa_id
Penn St.,2022,,Mackenzie Allessie,2,M,,,"Mount Joy, Pa.",Donegal,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/mackenzie-allessie,Senior,539
Penn St.,2022,,Sophia Gladieux,3,F,,,"Boyertown, Pa.",Oley Valley,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/sophia-gladieux,Junior,539
Penn St.,2022,,Madison Tambroni,4,M,,,"State College, Pa.",State College,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/madison-tambroni,Redshirt Freshman,539
Penn St.,2022,,Carly Gannon,5,F,,,"Havertown, Pa.",Haverford,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/carly-gannon,Junior,539
Penn St.,2022,,Riley Taylor,6,F,,,"Virginia Beach, Va.",First Colonial,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/riley-taylor,Graduate Student,539
Penn St.,2022,,Julia Lamb,7,F,,,"Phoenixville, Pa.",Owen J. Roberts,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/julia-lamb,Sophomore,539
Penn St.,2022,,Elena Vos,8,M,,,"Grave, The Netherlands",Nijmegen,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/elena-vos,Senior,539
Penn St.,2022,,Morgan McMenamin,9,F,,,"Lafayette Hill, Pa.",The Episcopal Academy,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/morgan-mcmenamin,Freshman,539
Penn St.,2022,,Madison Reese,10,D,5-7,,"Center Valley, Pa.",Southern Lehigh,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/madison-reese,Senior,539
Penn St.,2022,,Meghan Reese,11,M,5-4,,"Center Valley, Pa.",Southern Lehigh,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/meghan-reese,Senior+,539
Penn St.,2022,,Brie Barraco,12,GK,5-5,,"Allentown, Pa.",Parkland,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/brie-barraco,Senior,539
Penn St.,2022,,Ella Jennes,13,F,,,"Aerdenhout, The Netherlands",Coornert Lyceum,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/ella-jennes,Freshman,539
Penn St.,2022,,Lauren Delgado,14,GK,,,"East Earl, Pa.",Garden Spot,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/lauren-delgado,Junior,539
Penn St.,2022,,Aubrey Semler,15,F,,,"Allentown, Pa.",Parkland,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/aubrey-semler,Redshirt Freshman,539
Penn St.,2022,,Anna Simon,17,M,5-9,,"Hanau, Germany",Karl Rehbein Gymnasium,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/anna-simon,Graduate Student,539
Penn St.,2022,,Emily Farrell,18,D,,,"Wyoming, Pa.",Dallas,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/emily-farrell,Junior,539
Penn St.,2022,,Grace Wallis,19,F,,,"Blue Bell, Pa.",Mount St. Joseph Academy,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/grace-wallis,Graduate Student,539
Penn St.,2022,,Anouk Knuvers,20,D,,,"'s-Hertogenbosch, The Netherlands",Stedeljik,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/anouk-knuvers,Sophomore,539
Penn St.,2022,,Caroline Myers,21,F,,,"Hartland, Wis.",Arrowhead,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/caroline-myers,Sophomore,539
Penn St.,2022,,Jemma Punch,23,F,,,"Queensland, Australia",Brisbane State HS,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/jemma-punch,Senior,539
Penn St.,2022,,Gery Schnarrs,26,D,,,"Camp Hill, Pa.",East Pennsboro,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/gery-schnarrs,Junior,539
Penn St.,2022,,Drew Taylor,27,F,,,"Coatesville, Pa.",Coatesville,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/drew-taylor,Sophomore,539
Penn St.,2022,,Emily Bullard,30,GK,,,"Doylestown, Pa.",Central Bucks East,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/emily-bullard,Redshirt Freshman,539
Penn St.,2022,,Kelsey Love,33,D,,,"State College, Pa.",State College,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/kelsey-love,Junior,539
Penn St.,2022,,Sofia Acosta,34,D,,,"Malvern, Pa.",The Episcopal Academy,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/sofia-acosta,Redshirt Freshman,539
Penn St.,2022,,Sophia Mannino,42,M,,,"Doylestown, Pa.",Central Bucks East,,https://gopsusports.com/sports/field-hockey/roster/season/2022/player/sophia-mannino,Sophomore,539
