team,season,division,name,jersey,position,height,major,hometown,high_school,previous_school,url,class,ncaa_id
Penn St.,2023,,Natalie Freeman,1,M/F,,,"Ellicott City, Md.",Garrison Forest School,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/natalie-freeman,Freshman,539
Penn St.,2023,,Mackenzie Allessie,2,M,,,"Mount Joy, Pa.",Donegal,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/mackenzie-allessie,Senior+,539
Penn St.,2023,,Sophia Gladieux,3,F,,,"Boyertown, Pa.",Oley Valley,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/sophia-gladieux,Senior,539
Penn St.,2023,,Madison Tambroni,4,M,,,"State College, Pa.",State College,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/madison-tambroni,Sophomore,539
Penn St.,2023,,Carly Gannon,5,F/M,,,"Havertown, Pa.",Haverford,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/carly-gannon,Senior,539
Penn St.,2023,,Julia Lamb,7,F/M,,,"Phoenixville, Pa.",Owen J. Roberts,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/julia-lamb,Junior,539
Penn St.,2023,,Morgan McMenamin,9,F,,,"Lafayette Hill, Pa.",The Episcopal Academy,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/morgan-mcmenamin,Sophomore,539
Penn St.,2023,,Julienne van Bekkum,10,D,,,"Best, The Netherlands",Heerbeeck,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/julienne-van-bekkum,Graduate Student,539
Penn St.,2023,,Madison Britton,11,M/D,,,"West Grove, Pa.",Avon Grove,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/madison-britton,Freshman,539
Penn St.,2023,,Brie Barraco,12,GK,,,"Allentown, Pa.",Parkland,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/brie-barraco,Graduate Student,539
Penn St.,2023,,Lauren Delgado,14,GK,,,"East Earl, Pa.",Garden Spot,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/lauren-delgado,Graduate Student,539
Penn St.,2023,,Aubrey Semler,15,F,,,"Allentown, Pa.",Parkland,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/aubrey-semler,Sophomore,539
Penn St.,2023,,Elise DeWan,16,D,,,"Collegeville, Pa.",Methacton,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/elise-dewan,Freshman,539
Penn St.,2023,,Ella Jennes,17,F/M,,,"Aerdenhout, The Netherlands",Coornert Lyceum,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/ella-jennes,Sophomore,539
Penn St.,2023,,Anouk Knuvers,20,D,,,"'s-Hertogenbosch, The Netherlands",Stedeljik,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/anouk-knuvers,Junior,539
Penn St.,2023,,Caroline Myers,21,F,,,"Hartland, Wis.",Arrowhead,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/caroline-myers,Junior,539
Penn St.,2023,,Emmy McCulley,22,F/M,,,"Hummelstown, Pa.",Lower Dauphin,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/emmy-mccully,Freshman,539
Penn St.,2023,,Gery Schnarrs,26,D,,,"Camp Hill, Pa.",East Pennsboro,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/gery-schnarrs,Senior,539
Penn St.,2023,,Drew Taylor,27,F/M,,,"Coatesville, Pa.",Coatesville,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/drew-taylor,Junior,539
Penn St.,2023,,Emily Bullard,30,GK,,,"Doylestown, Pa.",Central Bucks East,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/emily-bullard,Sophomore,539
Penn St.,2023,,Hannah Schreckengaust,31,D,,,"San Marcos, Calif.",San Marcos,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/hannah-schreckengaust,Freshman,539
Penn St.,2023,,Kelsey Love,33,D,,,"State College, Pa.",State College,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/kelsey-love,Graduate Student,539
Penn St.,2023,,Sofia Acosta,34,D,,,"Malvern, Pa.",The Episcopal Academy,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/sofia-acosta,Sophomore,539
Penn St.,2023,,Sophia Mannino,42,M,,,"Doylestown, Pa.",Central Bucks East,,https://gopsusports.com/sports/field-hockey/roster/season/2023/player/sophia-mannino,Junior,539
