school,org_id,url,playerstatsurl,matchstatsurl
Lock Haven,360,https://www.lockhavenathletics.com/sports/field-hockey,https://stats.ncaa.org/team/360/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=360&game_sport_year_ctl_id=16461&stats_player_seq=-100
Longwood,363,https://longwoodlancers.com/sports/field-hockey,https://stats.ncaa.org/team/363/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=363&game_sport_year_ctl_id=16461&stats_player_seq=-100
Louisville,367,https://gocards.com/sports/field-hockey,https://stats.ncaa.org/team/367/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=367&game_sport_year_ctl_id=16461&stats_player_seq=-100
Maine,380,https://goblackbears.com/sports/field-hockey,https://stats.ncaa.org/team/380/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=380&game_sport_year_ctl_id=16461&stats_player_seq=-100
Maryland,392,https://umterps.com/sports/field-hockey,https://stats.ncaa.org/team/392/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=392&game_sport_year_ctl_id=16461&stats_player_seq=-100
Massachusetts,400,https://umassathletics.com/sports/field-hockey,https://stats.ncaa.org/team/400/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=400&game_sport_year_ctl_id=16461&stats_player_seq=-100
Merrimack,410,https://merrimackathletics.com/sports/field-hockey,https://stats.ncaa.org/team/410/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=410&game_sport_year_ctl_id=16461&stats_player_seq=-100
Miami (OH),414,https://miamiredhawks.com/sports/field-hockey,https://stats.ncaa.org/team/414/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=414&game_sport_year_ctl_id=16461&stats_player_seq=-100
Michigan,418,https://mgoblue.com/sports/field-hockey,https://stats.ncaa.org/team/418/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=418&game_sport_year_ctl_id=16461&stats_player_seq=-100
Michigan St.,416,https://msuspartans.com/sports/field-hockey,https://stats.ncaa.org/team/416/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=416&game_sport_year_ctl_id=16461&stats_player_seq=-100
Monmouth,439,https://monmouthhawks.com/sports/field-hockey,https://stats.ncaa.org/team/439/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=439&game_sport_year_ctl_id=16461&stats_player_seq=-100
New Hampshire,469,https://unhwildcats.com/sports/field-hockey,https://stats.ncaa.org/team/469/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=469&game_sport_year_ctl_id=16461&stats_player_seq=-100
